Период;ID должности;Табельный номер;Город;Должность;ФИО
44927;1000;2201;Новоуральск;главный клиентский менеджер розничного бизнеса;Корнеев З.
44927;1001;2202;Оленегорск;управляющий операционным офисом;Сергеев Е.
44927;1002;2203;Североуральск;руководитель группы;Корнеев Д.
44927;1003;2204;Жуковка;офис-менеджер;Петров Н.
44927;1004;2205;Воркута;эксперт по работе с партнерами;Корнеев Я.
44927;1005;2206;Ртищево;менеджер;Иванов Я.
44927;1006;2207;Кстово;клиентский менеджер;Корнеев Б.
44927;1007;2208;Амурск;клиентский менеджер;Бобров Л.
44927;1008;2209;Югорск;главный менеджер эквайринга;Бобров В.
44927;1009;2210;Липецк;офис-менеджер;Петров Б.
44927;1010;2211;Находка;директор;Бобров Ж.
44927;1011;2212;Архангельск;старший кассир;Сергеев Е.
44927;1012;2213;Нальчик;младший специалист;Корнеев Е.
44927;1013,Нягань;2214;Нягань;начальник отдела;Селезнев Д.
44927;1014;2215;Артем;главный клиентский менеджер розничного бизнеса;Корнеев Р.
44927;1015;2216;Междуреченский;младший специалист;Сергеев А.
44927;1016;2217;Советск;управляющий директор - начальник отдела;Сергеев Г.
44927;1017;2218;Ужур;старший кредитный аналитик;Сергеев Д.
44927;1018;2219;Миасс;управляющий директор;Иванов Н.
44927;1019;2220;Междуреченск;главный менеджер по привлечению корпоративных клиентов;Бобров Р.
44927;1020;2221;Усолье-Сибирское;офис-менеджер;Иванов М.
44927;1021;2222;Лобня;главный персональный менеджер;Селезнев М.
44927;1022;2223;Городец;главный кредитный аналитик;Петров Д.
44927;1023;2224;Уяр;старший кредитный аналитик;Сергеев Н.
44927;1024;2225;Ртищево;главный менеджер;Петров Р.
44927;1025;2226;Кинель;заместитель управляющего операционным офисом;Сергеев И.
44927;1026;2227;Златоуст;управляющий директор;Корнеев А.
44927;1027;2228;Румянцево;директор;Сергеев Н.
44927;1028;2229;Красногорск;директор;Бобров А.
44927;1029;2230;Киселевск;начальник отдела;Петров М.
44927;1030;2231;Сарапул;старший кредитный аналитик;Корнеев Н.
44927;1031;2232;Дно;эксперт по работе с партнерами;Сергеев М.
44927;1032;2233;Кондопога;директор;Иванов Ю.
44927;1033;2234;Выкса;главный кредитный аналитик;Бобров В.
44927;1034;2235;Волхов;директор;Селезнев К.
44927;1035;2236;Балашов;главный специалист;Петров М.
44927;1036;2237;Альметьевск;главный клиентский менеджер розничного бизнеса;Иванов Я.
44927;1037;2238;Верхняя Салда;управляющий директор;Сергеев С.
44927;1038;2239;Кингисепп;ведущий специалист;Петров И.
44927;1039;2240;Бугульма;директор по работе с крупными клиентами;Бобров Ж.
44927;1040;2241;Светлый;эксперт по работе с партнерами;Корнеев Л.
44927;1041;2242;Зеленоград;клиентский менеджер;Селезнев С.
44927;1042;2243;Копейск;главный менеджер эквайринга;Корнеев Н.
44927;1043;2244;Калуга;директор по работе с крупными клиентами;Сергеев И.
44927;1044;2245;Москва;менеджер;Корнеев П.
44927;1045;2246;Петрозаводск;главный менеджер по привлечению корпоративных клиентов;Сергеев Л.
44927;1046;2247;Салават;директор;Селезнев Т.
44927;1047;2248;Семенов;старший кассир;Селезнев Д.
44927;1048;2249;Выборг;главный клиентский менеджер розничного бизнеса;Петров Е.
44927;1049;2250;Балашов;менеджер;Петров Ю.
44927;1050;2251;Балахна;заместитель управляющего;Иванов В.
44927;1051;2252;Партизанск;директор по работе с крупными клиентами;Бобров И.
