Период;ID должности;Табельный номер;Город;Должность;ФИО;Месяц;Регион;Федеральный округ;Месяцев_поиска
2023-01-01;1000;2201;Новоуральск;главный клиентский менеджер розничного бизнеса;Корнеев З.;2023-01;Свердловская обл.;УФО;1
2023-02-01;1000;2201;Новоуральск;главный клиентский менеджер розничного бизнеса;Корнеев З.;2023-02;Свердловская обл.;УФО;2
2023-03-01;1000;2201;Новоуральск;главный клиентский менеджер розничного бизнеса;Корнеев З.;2023-03;Свердловская обл.;УФО;3
2023-04-01;1000;2201;Новоуральск;главный клиентский менеджер розничного бизнеса;Корнеев З.;2023-04;Свердловская обл.;УФО;4
2023-05-01;1000;2201;Новоуральск;главный клиентский менеджер розничного бизнеса;Корнеев З.;2023-05;Свердловская обл.;УФО;5
2023-01-01;1001;2202;Оленегорск;управляющий операционным офисом;Сергеев Е.;2023-01;Мурманская обл.;СЗФО;1
2023-02-01;1001;2202;Оленегорск;управляющий операционным офисом;Сергеев Е.;2023-02;Мурманская обл.;СЗФО;2
2023-03-01;1001;2202;Оленегорск;управляющий операционным офисом;Сергеев Е.;2023-03;Мурманская обл.;СЗФО;3
2023-04-01;1001;2202;Оленегорск;управляющий операционным офисом;Сергеев Е.;2023-04;Мурманская обл.;СЗФО;4
2023-05-01;1001;2202;Оленегорск;управляющий операционным офисом;Сергеев Е.;2023-05;Мурманская обл.;СЗФО;5
2023-01-01;1002;2203;Североуральск;руководитель группы;Корнеев Д.;2023-01;Свердловская обл.;УФО;1
2023-02-01;1002;2203;Североуральск;руководитель группы;Корнеев Д.;2023-02;Свердловская обл.;УФО;2
2023-03-01;1002;2203;Североуральск;руководитель группы;Корнеев Д.;2023-03;Свердловская обл.;УФО;3
2023-04-01;1002;2203;Североуральск;руководитель группы;Корнеев Д.;2023-04;Свердловская обл.;УФО;4
2023-05-01;1002;2203;Североуральск;руководитель группы;Корнеев Д.;2023-05;Свердловская обл.;УФО;5
2023-01-01;1003;2204;Жуковка;офис-менеджер;Петров Н.;2023-01;Московская обл.;ЦФО;1
2023-02-01;1003;2204;Жуковка;офис-менеджер;Петров Н.;2023-02;Московская обл.;ЦФО;2
2023-03-01;1003;2204;Жуковка;офис-менеджер;Петров Н.;2023-03;Московская обл.;ЦФО;3
2023-04-01;1003;2204;Жуковка;офис-менеджер;Петров Н.;2023-04;Московская обл.;ЦФО;4
2023-05-01;1003;2204;Жуковка;офис-менеджер;Петров Н.;2023-05;Московская обл.;ЦФО;5
2023-01-01;1004;2205;Воркута;эксперт по работе с партнерами;Корнеев Я.;2023-01;Респ. Коми;СЗФО;1
2023-02-01;1004;2205;Воркута;эксперт по работе с партнерами;Корнеев Я.;2023-02;Респ. Коми;СЗФО;2
2023-03-01;1004;2205;Воркута;эксперт по работе с партнерами;Корнеев Я.;2023-03;Респ. Коми;СЗФО;3
